#'chr'	'start'	'end'	'GSM1402790_cit0min_merged.norm.bigWig'
chr1	1017197	1051736	1.866697954
chr1	1017197	1051736	1.866697954
chr1	1017197	1051736	1.866697954
chr1	1017197	1051736	1.866697954
chr1	1072396	1079434	1.399999976
chr1	1102483	1102578	nan
chr1	1103242	1103332	nan
chr1	1103295	1103317	nan
chr1	1104384	1104467	nan
chr1	1104434	1104456	nan
chr1	1108435	1114935	3.095510309
chr1	1109285	1133313	2.00099424
chr1	1109285	1133313	2.00099424
chr1	1115076	1121243	1.399999976
chr1	1138887	1141060	nan
chr1	1138887	1142089	1.528571415
chr1	1138887	1142089	1.528571415
chr1	1138887	1142089	1.528571415
chr1	1146705	1149548	2.150000036
chr1	1146719	1149548	2.150000036
chr1	1152287	1156731	1.7
chr1	1152287	1167447	1.704092043
chr1	1152287	1167447	1.704092043
chr1	1152287	1167447	1.704092043
chr1	1158103	1159348	nan
chr1	1167628	1170420	2.568656761
chr1	1177825	1182102	1.399999976
chr1	1189291	1203372	1.924628389
chr1	1189291	1209234	2.012895433
chr1	1189291	1209234	2.012895433
chr1	1189291	1209234	2.012895433
chr1	1189291	1209234	2.012895433
chr1	1215815	1227409	1.909368541
chr1	1215815	1227409	1.909368541
chr1	1217488	1227409	1.686852589
chr1	1217488	1227409	1.686852589
chr1	1217536	1227409	1.7
chr1	1227763	1234335	1.587499991
chr1	1227763	1241309	1.992147432
chr1	1227763	1243269	2.058079942
chr1	1234123	1244989	2.11226407
chr1	1243993	1247057	1.399999976
chr1	1243993	1247057	1.399999976
chr1	1244465	1247057	1.399999976
chr1	1246964	1252830	1.399999976
chr1	1246964	1260067	1.677892091
chr1	1246964	1260067	1.677892091
chr1	1246964	1260067	1.677892091
chr1	1246964	1260067	1.677892091
chr1	1246964	1260067	1.677892091
chr1	1246964	1260067	1.677892091
chr1	1246964	1260067	1.677892091
chr1	1246964	1260067	1.677892091
chr1	1254060	1260067	1.832539693
chr1	1254076	1260067	1.84070082
chr1	1260142	1264276	2.150000036
chr1	1266725	1269844	1.399999976
chr1	1270657	1275557	1.775000006
chr1	1270657	1275557	1.775000006
chr1	1270657	1284492	1.882450963
chr1	1288070	1293915	1.757922081
chr1	1288070	1293915	1.757922081
chr1	1288070	1293915	1.757922081
chr1	1288070	1293915	1.757922081
chr1	1288070	1297157	1.975883595
chr1	1309109	1310246	1.399999976
chr1	1309109	1310562	1.399999976
chr1	1309109	1310580	1.399999976
chr1	1309109	1310818	1.399999976
chr1	1321090	1327029	1.399999976
chr1	1321090	1328183	1.399999976
chr1	1321090	1333722	2.309731086
chr1	1321090	1334718	2.259062638
chr1	1321090	1334718	2.259062638
chr1	1326145	1334718	2.442857197
chr1	1334909	1337426	1.900000016
chr1	1334911	1337426	1.900000016
chr1	1337275	1342693	2.51318334
chr1	1340412	1342693	1.839024401
chr1	1353799	1356824	1.511940284
chr1	1353799	1356824	1.511940284
chr1	1353799	1356824	1.511940284
chr1	1361507	1363167	2.150000036
chr1	1370902	1378262	1.742011837
chr1	1370902	1378262	1.742011837
chr1	1385068	1405538	2.080054118
chr1	1407163	1431582	1.899260757
chr1	1413405	1418847	1.399999976
chr1	1413405	1431582	1.945340974
chr1	1421161	1444689	2.181747585
chr1	1447522	1470067	1.529139064
chr1	1447522	1470067	1.529139064
chr1	1447909	1470067	1.530823942
chr1	1467448	1470064	1.399999976
chr1	1470157	1475740	1.900000016
chr1	1477052	1510262	1.684799702
chr1	1478559	1510262	1.674103412
chr1	1497731	1510262	1.686414544
chr1	1510354	1510644	1.854545467
chr1	1533387	1535476	2.12500003
chr1	1535818	1543166	2.000000024
chr1	1550794	1554590	2.107268738
chr1	1550794	1565990	2.003412457
chr1	1550794	1565990	2.003412457
chr1	1550794	1565990	2.003412457
chr1	1550794	1565990	2.003412457
chr1	1550794	1565990	2.003412457
chr1	1551244	1564946	2.009733709
chr1	1551244	1565990	2.000245024
chr1	1551689	1565990	1.996795483
chr1	1559153	1565990	2.010947374
chr1	1560370	1565990	1.911007022
chr1	1564485	1565990	1.399999976
chr1	1567559	1570030	nan
chr1	1567559	1570030	nan
chr1	1568161	1570030	nan
chr1	1568566	1570030	nan
chr1	1571099	1576737	nan
chr1	1571099	1647917	1.821024898
chr1	1571099	1647917	1.821024898
chr1	1571099	1655775	1.849009112
chr1	1571099	1655775	1.849009112
chr1	1571099	1655775	1.849009112
chr1	1571099	1655775	1.849009112
chr1	1571099	1655775	1.849009112
chr1	1571099	1655775	1.849009112
chr1	1577746	1580625	nan
chr1	1586822	1590469	2.150000036
chr1	1590987	1624243	1.729342862
chr1	1592938	1601578	1.561538451
chr1	1592938	1624243	1.724653197
chr1	1592938	1624243	1.724653197
chr1	1592938	1677438	1.916907937
chr1	1601213	1608285	1.775000006
chr1	1601876	1624243	1.698755241
chr1	1631377	1633247	nan
chr1	1631785	1633247	nan
chr1	1634169	1639684	1.399999976
chr1	1634169	1640391	1.399999976
chr1	1634169	1640391	1.399999976
chr1	1634169	1655791	2.243482338
chr1	1634169	1655791	2.243482338
chr1	1635662	1655791	2.243482338
chr1	1635988	1655791	2.243482338
chr1	1637080	1655791	2.243482338
chr1	1640232	1655791	2.288976815
chr1	1640232	1655791	2.288976815
chr1	1640232	1655791	2.288976815
chr1	1640956	1655543	2.299601898
chr1	1647784	1655471	2.623875499
chr1	1647784	1655471	2.623875499
chr1	1647784	1655543	2.623875499
chr1	1656053	1663343	1.399999976
chr1	1656276	1677438	1.9953237
chr1	1658823	1677438	1.817401929
chr1	1682670	1690081	1.399999976
chr1	1682670	1709909	1.855956438
chr1	1682670	1710297	1.860774461
chr1	1682670	1711508	1.87470801
chr1	1685548	1696885	1.83729385
chr1	1716724	1822526	1.936471169
chr1	1716724	1822526	1.936471169
chr1	1846265	1848733	nan
chr1	1849028	1850236	1.399999976
chr1	1849028	1850740	1.399999976
chr1	1853395	1858842	1.399999976
chr1	1853395	1859368	1.399999976
chr1	1884751	1935276	1.811961181
chr1	1886585	1922414	1.661477987
chr1	1915109	1935276	1.988064842
chr1	1944651	1946969	2.850000083
chr1	1950767	1962192	1.919082163
chr1	1981908	2116834	1.994966403
chr1	2005085	2116834	1.990092696
chr1	2005424	2116834	1.989246915
chr1	2036154	2116834	1.854939592
chr1	2076795	2088167	1.633722148
chr1	2076795	2116834	1.773244847
chr1	2100286	2116834	1.747230654
chr1	2112574	2114663	1.399999976
chr1	2115898	2126214	1.649999996
chr1	2115898	2126214	1.649999996
chr1	2115898	2126214	1.649999996
chr1	2115898	2139172	1.69614444
chr1	2120987	2126214	1.775000006
chr1	2120987	2126214	1.775000006
chr1	2121236	2123179	1.7
chr1	2123333	2126214	1.399999976
chr1	2160133	2241652	1.929762274
chr1	2252695	2322993	1.850427578
chr1	2263564	2322993	1.852234809
chr1	2281852	2284100	1.399999976
chr1	2286615	2322993	1.886553021
chr1	2309493	2322993	1.939711435
chr1	2323213	2336885	1.995566485
chr1	2323213	2336885	1.995566485
chr1	2336240	2344010	2.055555569
chr1	2336240	2344010	2.055555569
chr1	2407753	2436964	1.851338586
chr1	2411622	2436892	1.851476815
chr1	2411622	2436964	1.850407354
chr1	2411622	2436965	1.850392537
chr1	2411622	2436969	1.850333275
chr1	2430182	2436964	1.561710026
chr1	2439974	2458035	1.709184195
chr1	2439974	2458035	1.709184195
chr1	2460183	2461684	1.900000016
chr1	2481358	2484284	1.399999976
chr1	2481358	2484284	1.399999976
chr1	2481721	2484284	1.399999976
chr1	2486162	2488450	1.399999976
chr1	2487804	2490438	1.399999976
chr1	2487804	2492974	1.614285707
chr1	2487804	2495188	1.850000012
chr1	2487804	2495267	1.850000012
chr1	2517898	2522908	1.886666679
chr1	2517898	2522908	1.886666679
chr1	2518188	2522908	1.886666679
chr1	2518188	2522908	1.886666679
chr1	2518188	2522908	1.886666679
chr1	2518188	2522908	1.886666679
chr1	2518188	2522908	1.886666679
chr1	2518188	2522908	1.886666679
chr1	2518516	2522908	1.96153848
chr1	2522080	2560960	2.009041612
chr1	2522080	2564481	2.011417169
chr1	2572806	2706230	1.971206689
chr1	2938045	2939467	nan
chr1	2976180	2980350	1.900000016
chr1	2980635	2984289	1.900000016
chr1	2985741	3355185	1.825538311
chr1	2985741	3355185	1.825538311
chr1	2985741	3355185	1.825538311
chr1	2985741	3355185	1.825538311
chr1	3044538	3044599	1.399999976
chr1	3371146	3397677	1.948020875
chr1	3382568	3397677	1.521273131
chr1	3383534	3397677	1.52658425
chr1	3388170	3391021	1.399999976
chr1	3388170	3397677	1.638647338
chr1	3404505	3448012	1.914634539
chr1	3404505	3528059	1.929181468
chr1	3477259	3477354	1.399999976
chr1	3541555	3546694	1.587499991
chr1	3541555	3546694	1.587499991
chr1	3541587	3546694	1.587499991
chr1	3547330	3566671	1.428156252
chr1	3547336	3566671	1.428164177
chr1	3548460	3566671	1.429732055
chr1	3569128	3652765	1.944411649
chr1	3569128	3652765	1.944411649
chr1	3569128	3652765	1.944411649
chr1	3569128	3652765	1.944411649
chr1	3569128	3652765	1.944411649
chr1	3569128	3652765	1.944411649
chr1	3607235	3646315	1.973295778
chr1	3607235	3652765	1.889933187
chr1	3607235	3652765	1.889933187
chr1	3607235	3652765	1.889933187
chr1	3607235	3652765	1.889933187
chr1	3607235	3652765	1.889933187
chr1	3607235	3652765	1.889933187
chr1	3614609	3625098	2.162025541
chr1	3614609	3652765	1.915392845
chr1	3644041	3652765	1.787640456
chr1	3652547	3663335	1.778440819
chr1	3652547	3663937	1.766967475
chr1	3652547	3663937	1.766967475
chr1	3652547	3663937	1.766967475
chr1	3652547	3663937	1.766967475
chr1	3668964	3688209	2.39648191
chr1	3689333	3692546	2.133333365
chr1	3689351	3692546	2.133333365
chr1	3696783	3713068	1.92698839
chr1	3728644	3773797	1.962174707
chr1	3728652	3773797	1.96221325
chr1	3732843	3753716	2.103809125
chr1	3750234	3773797	1.958993869
chr1	3773844	3782564	2.171586242
chr1	3773844	3782962	2.123674029
chr1	3773844	3783050	2.123674029
chr1	3773844	3801993	1.806287181
chr1	3773844	3801993	1.806287181
chr1	3773844	3801993	1.806287181
chr1	3773844	3801993	1.806287181
chr1	3773844	3801993	1.806287181
chr1	3773844	3801993	1.806287181
chr1	3773844	3801993	1.806287181
chr1	3773844	3801993	1.806287181
chr1	3805696	3816857	2.071483158
chr1	3805696	3816857	2.071483158
chr1	3808872	3816857	2.280000043
chr1	3816967	3832011	2.198941273
chr1	3816967	3832011	2.198941273
chr1	3816967	3833879	2.218243425
chr1	4000671	4012643	1.562537199
chr1	4472110	4484744	1.77509798
chr1	4715104	4837854	1.953414329
chr1	4715104	4843851	1.96293501
chr1	4847557	4852183	1.897969557
chr1	5621768	5728315	1.875924789
chr1	5624130	5624203	nan
chr1	5922731	5922801	nan
chr1	5922869	6052533	1.932522987
chr1	5922870	5928435	1.423809502
chr1	5936013	6052533	1.938766571
chr1	5937152	6052533	1.939359455
chr1	5937152	6052533	1.939359455
chr1	5946554	5965543	1.961877916
chr1	6052357	6161253	2.001722757
chr1	6086072	6158621	1.952216617
chr1	6086072	6161253	1.960125542
chr1	6086072	6161253	1.960125542
chr1	6094347	6161253	1.953186847
chr1	6105980	6161253	1.939860496
chr1	6105980	6161253	1.939860496
chr1	6161846	6191808	1.967122256
chr1	6161846	6204215	2.000429007
chr1	6161846	6240194	1.968426037
chr1	6181164	6206931	1.994545281
chr1	6245079	6259679	1.938598087
chr1	6245079	6259679	1.938598087
chr1	6266188	6268366	2.150000036
chr1	6266188	6281359	1.882595956
chr1	6268677	6270960	nan
chr1	6268940	6278429	1.957377068
chr1	6281252	6296044	1.681775638
chr1	6281252	6296044	1.681775638
chr1	6297870	6299502	2.866666754
chr1	6304251	6305638	1.76206897
chr1	6307405	6321035	2.061951496
chr1	6324331	6419004	1.884380574
chr1	6324331	6420764	1.881260762
chr1	6324331	6445883	1.847984739
chr1	6324331	6453826	1.841309118
chr1	6324331	6453826	1.841309118
chr1	6472497	6484730	1.852761702
chr1	6475293	6479979	1.7
chr1	6484847	6521004	1.985869065
chr1	6489893	6489956	nan
chr1	6508102	6521004	2.090533386
chr1	6521213	6523682	nan
chr1	6521213	6526255	2.000000024
chr1	6521213	6526255	2.000000024
chr1	6521213	6526255	2.000000024
chr1	6521213	6526255	2.000000024
chr1	6521213	6526255	2.000000024
chr1	6521213	6526255	2.000000024
chr1	6521213	6526255	2.000000024
chr1	6521213	6526255	2.000000024
chr1	6521213	6526255	2.000000024
chr1	6524170	6526255	1.980851086
chr1	6526151	6531643	1.814285721
chr1	6526151	6537718	1.924857729
chr1	6526151	6545529	2.023891081
chr1	6526151	6546014	2.011830783
chr1	6526151	6550654	1.984855469
chr1	6526151	6550654	1.984855469
chr1	6526151	6551761	1.993744213
chr1	6526151	6556756	2.046763841
chr1	6526151	6557156	2.051502376
chr1	6526151	6557484	2.055346216
chr1	6526151	6580121	2.171026901
chr1	6526151	6580121	2.171026901
chr1	6581406	6614658	2.092481502
chr1	6581406	6614658	2.092481502
chr1	6615337	6639817	1.881716881
chr1	6615337	6639817	1.881716881
chr1	6630968	6639817	1.808707874
chr1	6640055	6649340	1.896105717
chr1	6640062	6649340	1.896105717
chr1	6640068	6649340	1.896105717
chr1	6645361	6649340	1.893503494
chr1	6650778	6662929	1.958316564
chr1	6650783	6659871	1.874193562
chr1	6650783	6662929	1.958219755
chr1	6673755	6684093	1.399999976
chr1	6684924	6693642	2.114285746
chr1	6685209	6693642	2.114285746
chr1	6685209	6695646	1.770671483
chr1	6694227	6761966	1.892602224
chr1	6694227	6761966	1.892602224
chr1	6694227	6761966	1.892602224
chr1	6845383	6932107	2.162768083
chr1	6845383	6948261	2.144336928
chr1	6845383	6948261	2.144336928
chr1	6845383	7829766	1.913817542
chr1	7732053	7805082	1.779208093
chr1	7740147	7829766	1.761302067
chr1	7796403	7829766	1.750662906
chr1	7804894	7829766	1.776991549
chr1	7831328	7841492	1.711876485
chr1	7844379	7864018	1.588083956
chr1	7844439	7890221	1.808765655
chr1	7844713	7890221	1.809340107
chr1	7844713	7905237	1.917852262
chr1	7844713	7905237	1.917852262
chr1	7844713	7905237	1.917852262
chr1	7903142	7973294	1.826784834
chr1	7907671	7913178	2.133333365
chr1	7907671	7913565	1.978787899
chr1	7975930	8003225	2.076461484
chr1	7990338	7990408	nan
chr1	8021713	8045342	2.069829776
chr1	8021713	8045342	2.069829776
chr1	8021713	8045342	2.069829776
chr1	8043018	8045341	1.399999976
chr1	8071778	8086393	2.191509677
chr1	8073486	8075752	2.280000043
chr1	8384389	8404227	1.884160648
chr1	8390197	8404227	1.749099002
chr1	8412463	8483747	1.972380393
chr1	8412463	8877699	1.971639755
chr1	8412463	8877699	1.971639755
chr1	8420171	8585844	1.920165543
chr1	8440651	8441235	1.399999976
chr1	8525029	8813897	1.961865296
chr1	8921058	8931635	1.649505618
chr1	8921058	8939151	1.782974547
chr1	8923172	8939151	1.779122119
chr1	8931005	8939151	1.896460191
chr1	8938893	8939943	1.916498332
chr1	9005892	9012710	1.775000006
chr1	9005892	9034503	2.107948082
chr1	9005892	9035148	2.099608024
chr1	9005892	9035148	2.099608024
chr1	9005892	9035148	2.099608024
chr1	9063358	9086404	1.980928945
chr1	9097004	9109319	1.929102464
chr1	9097004	9129653	2.016208425
chr1	9097004	9129887	2.014559579
chr1	9097004	9129887	2.014559579
chr1	9101426	9129653	2.029227135
chr1	9101426	9129887	2.027195357
chr1	9117506	9148510	1.700182249
chr1	9164475	9189229	2.137559893
chr1	9164475	9189229	2.137559893
chr1	9169157	9189229	2.170271578
chr1	9186983	9189250	2.493220402
chr1	9208345	9242451	2.189661916
chr1	9211726	9211836	nan
chr1	9294862	9331394	1.937337268
chr1	9352940	9429590	2.007603665
chr1	9415765	9429590	2.086361466
chr1	9497727	9497837	nan
chr1	9599527	9642831	2.130225404
chr1	9648931	9665020	1.791075619
chr1	9648931	9674935	1.790361671
chr1	9656916	9674935	1.753912845
chr1	9711789	9775827	2.111900955
chr1	9711789	9789172	2.062745407
chr1	9712667	9714644	2.221126798
chr1	9740902	9747627	2.034437111
chr1	9751524	9789172	1.860553394
chr1	9751524	9789172	1.860553394
chr1	9770162	9789172	1.758553018
chr1	9789078	9793604	1.7
chr1	9789078	9884550	1.984037542
chr1	9789078	9884550	1.984037542
chr1	9789078	9884550	1.984037542
chr1	9908333	9970316	2.164582546
chr1	9908333	9970316	2.164582546
chr1	9989775	10002840	1.459107741
chr1	9989775	10003387	1.466128304
chr1	9989775	10003427	1.466587242
chr1	9989775	10003427	1.466587242
chr1	10003485	10045556	2.142978954
chr1	10057254	10076078	1.897827842
chr1	10057254	10076078	1.897827842
chr1	10093040	10241296	2.009360905
chr1	10093040	10241296	2.009360905
chr1	10093040	10241296	2.009360905
chr1	10093040	10241296	2.009360905
chr1	10093040	10241296	2.009360905
chr1	10231013	10241296	1.722222222
chr1	10270763	10334469	1.915144983
chr1	10270763	10368655	1.933707091
chr1	10270763	10441661	1.967466833
chr1	10271673	10441661	1.967475724
chr1	10292307	10441655	1.99527486
chr1	10292307	10441655	1.99527486
chr1	10292307	10441655	1.99527486
chr1	10292307	10441655	1.99527486
chr1	10459084	10480201	1.853491229
chr1	10459084	10480201	1.853491229
chr1	10490158	10502872	1.842632838
chr1	10490158	10512060	1.941192014
chr1	10490158	10512060	1.941192014
chr1	10490158	10512060	1.941192014
chr1	10490803	10512060	1.938189185
chr1	10490803	10512060	1.938189185
chr1	10509775	10512060	1.900000016
chr1	10520602	10532613	1.916917448
chr1	10520602	10532613	1.916917448
chr1	10535002	10580067	2.123062072
chr1	10535002	10638484	2.149421946
chr1	10535002	10683924	2.128582984
chr1	10535002	10690815	2.11707181
chr1	10535002	10690815	2.11707181
chr1	10535002	10690815	2.11707181
chr1	10535002	10690815	2.11707181
chr1	10588311	10690815	2.133030032
chr1	10696665	10856733	1.850220738
chr1	10707262	10856733	1.853178464
chr1	10713040	10754507	1.82395153
chr1	10718063	10721455	1.614285707
chr1	10744633	10744736	nan
chr1	11006529	11024328	1.975447209
chr1	11006529	11024328	1.975447209
chr1	11006529	11042094	1.985014243
chr1	11072678	11085549	2.180326584
chr1	11072678	11085549	2.180326584
chr1	11086579	11107296	2.353273895
chr1	11104854	11107296	2.866666754
chr1	11104854	11107296	2.866666754
chr1	11105155	11107296	2.866666754
chr1	11114648	11120091	2.168480719
chr1	11126675	11159938	1.926928303
chr1	11126675	11159938	1.926928303
chr1	11139767	11159938	1.639206028
chr1	11166587	11191615	1.930290256
chr1	11166587	11322608	2.0113364
chr1	11203954	11209595	1.980000019
chr1	11249345	11256038	2.725355512
chr1	11333254	11348491	2.124113052
chr1	11539294	11541938	2.40853248
chr1	11539294	11597640	2.097832769
chr1	11561046	11586928	1.911624967
chr1	11708417	11714888	2.650000075
chr1	11708417	11714888	2.650000075
chr1	11709143	11714401	2.525000066
chr1	11714431	11723384	1.895381078
chr1	11714913	11718713	1.399999976
chr1	11714913	11723384	1.770129876
chr1	11714913	11723384	1.770129876
chr1	11714913	11723384	1.770129876
chr1	11714913	11723384	1.770129876
chr1	11714913	11723384	1.770129876
chr1	11724149	11734409	2.194779153
chr1	11734536	11741495	2.12500003
chr1	11734536	11751678	2.096770034
chr1	11734536	11751678	2.096770034
chr1	11751780	11780336	1.990533432
chr1	11782186	11785914	1.614285707
chr1	11796141	11810828	1.837955013
chr1	11796141	11810828	1.837955013
chr1	11796141	11810828	1.837955013
chr1	11796141	11810828	1.837955013
chr1	11796141	11810828	1.837955013
chr1	11824461	11826573	2.003896128
chr1	11832138	11849642	2.065630509
chr1	11839858	11849642	1.720305166
chr1	11845786	11856547	1.771747435
chr1	11845786	11863440	1.825348075
chr1	11845786	11866160	1.847142412
chr1	11862937	11865470	2.257142901
chr1	11862937	11865470	2.257142901
chr1	11866152	11876844	1.929654521
chr1	11866152	11888276	2.004589107
chr1	11866152	11888276	2.004589107
chr1	11866152	11889379	1.99573447
chr1	11866152	11903201	1.941877398
chr1	11866152	11903201	1.941877398
chr1	11866152	11903201	1.941877398
chr1	11900375	11907674	1.670168853
chr1	11900375	11907674	1.670168853
chr1	11900375	11907674	1.670168853
chr1	11900375	11907674	1.670168853
chr1	11900375	11907674	1.670168853
chr1	11900375	11907674	1.670168853
chr1	11905766	11907840	1.399999976
chr1	11917520	11918992	2.219354879
chr1	11979644	11986485	1.399999976
chr1	11982231	11986485	1.399999976
chr1	11994723	12035599	1.866987319
chr1	11994723	12035599	1.866987319
chr1	12040237	12073572	1.973324902
chr1	12040237	12073572	1.973324902
chr1	12079298	12092106	1.953419223
chr1	12123433	12204264	1.716113343
chr1	12123433	12204264	1.716113343
chr1	12185957	12204264	1.629699994
chr1	12185957	12204264	1.629699994
chr1	12227059	12269277	1.809947972
chr1	12227059	12269277	1.809947972
chr1	12227059	12269277	1.809947972
chr1	12251761	12251839	nan
chr1	12290112	12572098	1.884238337
chr1	12290112	12572098	1.884238337
chr1	12335881	12572098	1.905376982
chr1	12371510	12398045	1.776366701
chr1	12427724	12572098	1.995435358
chr1	12469883	12572098	2.031270797
chr1	12567299	12567451	nan
chr1	12627938	12676788	1.85362974
chr1	12627938	12677820	1.85183147
chr1	12638983	12677820	1.745498806
chr1	12640130	12677820	1.730902522
chr1	12640550	12656106	1.917191908
chr1	12704565	12727097	1.886765853
chr1	12776117	12788726	1.622830929
chr1	12776117	12788726	1.622830929
chr1	12806162	12819698	2.032557032
chr1	12806162	12821102	2.062124262
chr1	12834983	12838048	1.399999976
chr1	12851545	12856777	1.649999996
chr1	12884467	12891264	1.399999976
chr1	12907235	12908237	nan
chr1	12907260	12908578	1.399999976
chr1	12916940	12921764	1.399999976
chr1	12939032	12946025	nan
chr1	12952726	12958094	nan
chr1	12976449	12980568	nan
chr1	12998301	13007406	nan
chr1	12998301	13117751	1.399999936
chr1	13035542	13038381	nan
chr1	13108513	13117751	nan
chr1	13182959	13184326	nan
chr1	13328195	13331692	nan
chr1	13359818	13369057	nan
chr1	13386646	13389770	nan
chr1	13386646	13390765	nan
chr1	13421175	13428191	nan
chr1	13447413	13452656	nan
chr1	13474052	13477569	nan
chr1	13495253	13498259	nan
chr1	13516065	13526943	nan
chr1	13607430	13611550	nan
chr1	13629937	13635299	nan
chr1	13641972	13648988	nan
chr1	13694888	13698405	nan
chr1	13716087	13719064	nan
chr1	13736906	13747803	nan
chr1	13801444	13840242	2.028336363
chr1	13910251	13944452	1.867571374
chr1	13910251	13944452	1.867571374
chr1	13910761	13944452	1.860297397
chr1	13910761	13944452	1.860297397
chr1	13911966	13944452	1.842427548
chr1	13911966	13944452	1.842427548
chr1	14026734	14151574	1.981151909
chr1	14031349	14114574	2.033275543
chr1	14031349	14151574	1.986343443
chr1	14075855	14107358	2.235604148
chr1	14075855	14114574	2.143906449
chr1	14075855	14151574	1.97375912
chr1	14075855	14151574	1.97375912
chr1	14146461	14150513	1.399999976
chr1	14925212	15394651	1.990327144
chr1	14925212	15444544	1.997367472
chr1	15250624	15394651	1.963961969
chr1	15256295	15394651	1.974078321
chr1	15272414	15394651	1.992144779
chr1	15287179	15394651	1.992002707
chr1	15427703	15444544	1.904792661
chr1	15438310	15478960	2.148740692
chr1	15438310	15478960	2.148740692
chr1	15479027	15546974	1.94656537
chr1	15479027	15546974	1.94656537
chr1	15480228	15546874	1.938486021
chr1	15480228	15546974	1.938266491
chr1	15480228	15546974	1.938266491
chr1	15573767	15672019	2.064454275
chr1	15573767	15724622	2.082453989
chr1	15653175	15670372	1.957726144
chr1	15668231	15711054	2.141004557
chr1	15671578	15724622	2.114223165
chr1	15671911	15724622	2.114920738
chr1	15684286	15690812	1.866438368
chr1	15707196	15726778	2.061960196
chr1	15736390	15756839	1.89730982
chr1	15764937	15773153	2.927213187
chr1	15764937	15773153	2.927213187
chr1	15783222	15798586	1.637214646
chr1	15802595	15817895	1.865694246
chr1	15817323	15850940	2.134512055
chr1	15817895	15850940	2.138584906
chr1	15817895	15850940	2.138584906
chr1	15817895	15850940	2.138584906
chr1	15817895	15850940	2.138584906
chr1	15817895	15851285	2.127870198
chr1	15853351	15893091	1.96502788
